"wiki";"label";"type";"code";"iso3"
"Q1335";"Montevideo";"capital_city";"CA_URY";"URY"
"Q77";"Uruguay";"country_name";"NA_URY";"URY"
"Q61";"Washington, D.C.";"capital_city";"CA_USA";"USA"
"Q30";"United States of America";"country_name";"NA_USA";"USA"
"Q269";"Tashkent";"capital_city";"CA_UZB";"UZB"
"Q265";"Uzbekistan";"country_name";"NA_UZB";"UZB"
"Q237";"Vatican";"capital_city";"CA_VAT";"VAT"
"Q237";"Vatican City";"country_name";"NA_VAT";"VAT"
"Q159583";"Holly See";"country_name";"NA_VAT";"VAT"
"Q41474";"Kingstown";"capital_city";"CA_VCT";"VCT"
"Q757";"Saint Vincent and the Grenadines";"country_name";"NA_VCT";"VCT"
"Q1533";"Caracas";"capital_city";"CA_VEN";"VEN"
"Q717";"Venezuela";"country_name";"NA_VEN";"VEN"
"Q1858";"Hanoi";"capital_city";"CA_VNM";"VNM"
"Q881";"Vietnam";"country_name";"NA_VNM";"VNM"
"Q37806";"Port Vila";"capital_city";"CA_VUT";"VUT"
"Q686";"Vanuatu";"country_name";"NA_VUT";"VUT"
"Q36260";"Apia";"capital_city";"CA_WSM";"WSM"
"Q683";"Samoa";"country_name";"NA_WSM";"WSM"
"Q2471";"Sanaa";"capital_city";"CA_YEM";"YEM"
"Q805";"Yemen";"country_name";"NA_YEM";"YEM"
"Q3926";"Pretoria";"capital_city";"CA_ZAF";"ZAF"
"Q258";"South Africa";"country_name";"NA_ZAF";"ZAF"
"Q3881";"Lusaka";"capital_city";"CA_ZMB";"ZMB"
"Q953";"Zambia";"country_name";"NA_ZMB";"ZMB"
"Q3921";"Harare";"capital_city";"CA_ZWE";"ZWE"
"Q954";"Zimbabwe";"country_name";"NA_ZWE";"ZWE"
