"id";"lang";"label";"type";"code";"iso3"
"Q115";"fr";"République fédérale démocratique d Éthiopie";"country_name";"NA_ETH";"ETH"
"Q3624";"fr";"Addis Abäba";"capital_city";"CA_ETH";"ETH"
"Q3624";"fr";"Addis Abeba";"capital_city";"CA_ETH";"ETH"
"Q3624";"fr";"Addis-Abeba";"capital_city";"CA_ETH";"ETH"
"Q3624";"fr";"Finfinne";"capital_city";"CA_ETH";"ETH"
"Q1757";"fr";"Helsingfors";"capital_city";"CA_FIN";"FIN"
"Q1757";"fr";"Helsinki";"capital_city";"CA_FIN";"FIN"
"Q33";"fr";"Fin.";"country_name";"NA_FIN";"FIN"
"Q33";"fr";"Finl.";"country_name";"NA_FIN";"FIN"
"Q33";"fr";"Finlande";"country_name";"NA_FIN";"FIN"
"Q33";"fr";"la République de Finlande";"country_name";"NA_FIN";"FIN"
"Q38807";"fr";"Suva";"capital_city";"CA_FJI";"FJI"
"Q712";"fr";"Fidji";"country_name";"NA_FJI";"FJI"
"Q712";"fr";"Fiji";"country_name";"NA_FJI";"FJI"
"Q712";"fr";"îles Fidji";"country_name";"NA_FJI";"FJI"
"Q712";"fr";"îles Fiji";"country_name";"NA_FJI";"FJI"
"Q712";"fr";"la République des Fidji";"country_name";"NA_FJI";"FJI"
"Q712";"fr";"République des Fidji";"country_name";"NA_FJI";"FJI"
"Q712";"fr";"République des îles Fidji";"country_name";"NA_FJI";"FJI"
"Q142";"fr";"Fille aînée de l Église";"country_name";"NA_FRA";"FRA"
"Q142";"fr";"France";"country_name";"NA_FRA";"FRA"
"Q142";"fr";"L Hexagone";"country_name";"NA_FRA";"FRA"
"Q142";"fr";"La France";"country_name";"NA_FRA";"FRA"
"Q142";"fr";"la République française";"country_name";"NA_FRA";"FRA"
"Q142";"fr";"Pays de Molière";"country_name";"NA_FRA";"FRA"
"Q142";"fr";"République française";"country_name";"NA_FRA";"FRA"
"Q90";"fr";"Lutèce";"capital_city";"CA_FRA";"FRA"
"Q90";"fr";"Paname";"capital_city";"CA_FRA";"FRA"
"Q90";"fr";"Paris";"capital_city";"CA_FRA";"FRA"
"Q90";"fr";"Ville de l Amour";"capital_city";"CA_FRA";"FRA"
"Q90";"fr";"Ville-Lumière";"capital_city";"CA_FRA";"FRA"
"Q42751";"fr";"Palikir";"capital_city";"CA_FSM";"FSM"
"Q702";"fr";"États fédérés de Micronésie";"country_name";"NA_FSM";"FSM"
"Q702";"fr";"les États fédérés de Micronésie";"country_name";"NA_FSM";"FSM"
"Q702";"fr";"Micronésie";"country_name";"NA_FSM";"FSM"
"Q1000";"fr";"Gabon";"country_name";"NA_GAB";"GAB"
"Q1000";"fr";"la République gabonaise";"country_name";"NA_GAB";"GAB"
"Q1000";"fr";"République gabonaise";"country_name";"NA_GAB";"GAB"
"Q3825";"fr";"Libreville";"capital_city";"CA_GAB";"GAB"
"Q145";"fr";"Grande-Bretagne";"country_name";"NA_GBR";"GBR"
"Q145";"fr";"le Royaume-Uni de Grande-Bretagne et d Irlande du Nord";"country_name";"NA_GBR";"GBR"
"Q145";"fr";"R.-U.";"country_name";"NA_GBR";"GBR"
