id;lang;label
Q23438;fr;Ashgabat
Q23438;fr;Ashkabad
Q23438;fr;Ashkhabad
Q23438;fr;Poltoratsk
Q235;fr;Fort-Hercule
Q235;fr;la Principauté de Monaco
Q235;fr;Monaco
Q235;fr;Monaco (rattachée au District de Menton en 1793)
Q235;fr;Principauté de Monaco
Q23564;fr;Podgorica
Q23564;fr;Pogdorica
Q23564;fr;Titograd
Q236;fr;le Monténégro
Q236;fr;Montén.
Q236;fr;Montenegro
Q236;fr;Monténégro
Q23661;fr;District de Wellington
Q23661;fr;Wellington
Q23661;fr;Wellington City
Q23661;fr;Wellington District
Q23681;fr;Chypre du Nord
Q23681;fr;Chypre Nord
Q23681;fr;Chypre-Nord
Q23681;fr;État chypriote turc
Q23681;fr;État turc de Chypre
Q23681;fr;République turque de Chypre du nord
Q237;fr;Cité du Vatican
Q237;fr;État de la Cité du Vatican
Q237;fr;Vatican
Q238;fr;la République de Saint-Marin
Q238;fr;République de Saint-Marin
Q238;fr;Saint-Marin
Q238;fr;Saint-marin
Q23800;fr;Citta  Umilissima
Q23800;fr;Citta Umilissima
Q23800;fr;Il-Belt
Q23800;fr;La Valette
Q23800;fr;La Vallette
Q23800;fr;Valletta
Q23800;fr;Ville de la Valette
Q239;fr;Bruxelles
Q239;fr;Bruxelles-Ville
Q239;fr;ville de Bruxelles
Q241;fr;Cuba
Q241;fr;la République de Cuba
Q242;fr;Belize
Q242;fr;Bélize
Q242;fr;le Bélize
Q244;fr;Barbade
Q244;fr;la Barbade
Q2449;fr;Mogadiscio
Q2467;fr;Nassau
Q2471;fr;Sanaa
Q252;fr;Indonésie
Q252;fr;la République d Indonésie
Q25270;fr;Prishtina
Q25270;fr;Prishtinë
Q25270;fr;Pristina
Q25270;fr;Priština
Q25270;fr;Quartier de Dardania
Q258;fr;Afrique du Sud
Q258;fr;République d Afrique du Sud
Q258;fr;république d Afrique du Sud
Q258;fr;République sud-africaine
Q258;fr;république sud-africaine
Q262;fr;Alg.
Q262;fr;Algerie
Q262;fr;Algérie
Q262;fr;la République algérienne démocratique populaire
Q262;fr;RADP
Q262;fr;République algérienne démocratique et populaire
Q265;fr;la République d Ouzbékistan
Q265;fr;Ouzbékistan
Q269;fr;Tachkent
Q27;fr;Éire
Q27;fr;Ireland
Q27;fr;Irl.
Q27;fr;Irlande
Q27;fr;l Irlande
Q27;fr;République d Irlande
Q270;fr;Varsovie
Q28;fr;Hongrie
Q28;fr;la Hongrie
Q2807;fr;Madrid
Q2807;fr;Madrid (Espagne)
Q2807;fr;Ville de Madrid
Q2841;fr;Bogota
Q2841;fr;Bogotá
Q2841;fr;Bogotá D.C.
Q2841;fr;Santa Fe de Bogotá
Q2844;fr;Brasilia
Q2868;fr;Lima
Q2887;fr;Santiago
Q2887;fr;Santiago du Chili
Q29;fr;Esp.
Q29;fr;Espagne
Q29;fr;État espagnol
Q29;fr;Royaume d Espagne
Q2900;fr;Quito
Q2900;fr;San Francisco de Quito
Q2933;fr;Assomption
Q2933;fr;Asuncion
Q2933;fr;Asunción
Q298;fr;Chili
Q298;fr;la République du Chili
Q29999;fr;Pays-Bas
Q29999;fr;royaume des Pays Bas
Q29999;fr;Royaume des Pays-Bas
Q30;fr;Amérique
Q30;fr;É-U.
Q30;fr;E.-U.
Q30;fr;É.-U.
Q30;fr;É.U.
Q30;fr;Etats-Unis
Q30;fr;États-Unis
Q30;fr;États-unis
Q30;fr;États-Unis d Amérique
Q30;fr;Les États
Q30;fr;les États-Unis d Amérique
Q30;fr;Oncle Sam
Q30;fr;pays de l Oncle Sam
Q30;fr;States
Q30;fr;USA
Q3001;fr;Paramaribo
Q3037;fr;Katmandou
Q3043;fr;Belmopan
Q3043;fr;Belmopán
Q3070;fr;San Jose
Q3070;fr;San José
Q3070;fr;San José (Costa Rica)
Q31;fr;Belg.
Q31;fr;Belgique
Q31;fr;Royaume de Belgique
Q31026;fr;Jarren
Q31026;fr;Makwa
Q31026;fr;Yaren
Q3110;fr;San Salvador
Q3114;fr;Canberra
Q31354462;fr;Abkhazie
Q32;fr;Grand-Duché de Luxembourg
Q32;fr;Grand-duché de Luxembourg
Q32;fr;grand-duché de Luxembourg
Q32;fr;le Grand-Duché de Luxembourg
Q32;fr;Lux.
Q32;fr;Luxembourg
Q3238;fr;Tegucigalpa
Q3274;fr;Managua
Q33;fr;Fin.
Q33;fr;Finl.
Q33;fr;Finlande
Q33;fr;la République de Finlande
Q334;fr;République de Singapour
Q334;fr;Singapour
Q34;fr;le Royaume de Suède
Q34;fr;Suède
Q34126;fr;Funafuti
Q34126;fr;Vaiaku
Q34261;fr;Port au Prince
Q34261;fr;Port-au-Prince
Q34261;fr;Port-au-prince
Q34261;fr;Port-Républicain
Q34692;fr;Kingston
Q34692;fr;Tinson
Q347;fr;la Principauté du Liechtenstein
Q347;fr;Liechtenstein
Q347;fr;principauté de Liechtenstein
Q34820;fr;Ciudad Trujillo
Q34820;fr;Saint Domingue
Q34820;fr;Saint-Domingue
Q34820;fr;Saint-domingue
Q34820;fr;San Domingo
Q34820;fr;Santo Domingo de Guzmán
Q34820;fr;Santo Dominguo
Q34820;fr;Santo-Domingo
Q34820;fr;Ville de Saint-Domingue
Q35;fr;Dan.
Q35;fr;Danemark
Q35;fr;Danemark métropolitain
Q35;fr;Danemark propre
Q35;fr;royaume du Danemark
Q35178;fr;Koweit
Q35178;fr;Koweit City
Q35178;fr;Koweït City
Q35178;fr;Kuwait City
Q35178;fr;Ville de Koweït
Q35381;fr;Colombo
Q3551;fr;Rabat
Q3561;fr;Alger
Q3572;fr;Tunis
Q3579;fr;Tripoli
Q36;fr;la République de Pologne
Q36;fr;Pol.
Q36;fr;Pologne
Q36;fr;République de Pologne
Q36;fr;République polonaise
Q3616;fr;Téhéran
Q36168;fr;Bridgetown
Q3624;fr;Addis Abäba
Q3624;fr;Addis Abeba
Q3624;fr;Addis-Abeba
Q3624;fr;Finfinne
Q36260;fr;Apia
Q36260;fr;Faleolo
Q36262;fr;Saint John s
Q36262;fr;St John s
Q36262;fr;TAPA
Q36281;fr;Roseau
Q3630;fr;Batavia
Q3630;fr;Djakarta
Q3630;fr;Jakarta
Q3640;fr;Ankara
Q3642;fr;Asmara
Q3642;fr;Asmera
Q36526;fr;Port Moresby
Q36526;fr;Port-Moresby
Q36526;fr;Pot Mosbi
Q3659;fr;N Djaména
Q3659;fr;Ndjamena
Q36678;fr;Cisjordanie
Q36678;fr;Cisjordanie occupée
Q36678;fr;Judée et Samarie
Q36678;fr;Judée-Samarie
Q3674;fr;Niamey
Q3674;fr;Ville de Niamey
Q3688;fr;Nouakchott
Q3692;fr;Riyad
Q37;fr;la République de Lituanie
Q37;fr;Lithuanie
Q37;fr;Lituanie
Q3703;fr;Bamako
Q3711;fr;Belgrade
Q3718;fr;Dakar
Q3726;fr;Banjul
Q3733;fr;Conakry
Q3739;fr;Bissao
Q3739;fr;Bissau
Q37400;fr;Nay Pyi Daw
Q37400;fr;Naypidaw
Q37400;fr;Naypyidaw
Q37400;fr;Pyinmana
Q3748;fr;Monrovia
Q3751;fr;Praia
Q3761;fr;Accra
Q3766;fr;Damas
Q3766;fr;Dimashq
Q3766;fr;Dimashq ach-Cham
Q3768;fr;Yamoussoukro
Q3777;fr;Ouagadougou
Q3780;fr;Freetown
Q37806;fr;Port Vila
Q37806;fr;Port-Vila
Q37806;fr;Port-vila
Q3787;fr;Abuja
Q3792;fr;Lomé
Q3799;fr;Porto-Novo
Q38;fr;Ita.
Q38;fr;Ital.
Q38;fr;Italia
Q38;fr;Italie
Q38;fr;la République italienne
Q38;fr;République Italienne
Q3805;fr;Amman
Q3808;fr;Yaoundé
Q3808;fr;Yaounde, Ongola
Q3818;fr;Malabo
Q3820;fr;Beyrouth
Q3825;fr;Libreville
Q3826;fr;Mascate
Q3826;fr;Masqat
Q3826;fr;Muscat
Q3832;fr;Bangui
Q3838;fr;Kinshasa
Q3838;fr;Léopoldville
Q384;fr;Skopié
Q384;fr;Skopje
Q3844;fr;Brazzaville
Q3856;fr;Nicosie
Q3859;fr;Kigali
Q3861;fr;Doha
Q3866;fr;Dodoma
Q3870;fr;Nairobi
Q3876;fr;Lilongwe
Q38807;fr;Suva
Q3881;fr;Lusaka
Q3882;fr;Manama
Q38834;fr;Nuku alofa
Q38834;fr;Nuku<U+02BB>alofa
Q38834;fr;Nukualofa
Q3889;fr;Lourenço Marques
Q3889;fr;Maputo
Q3894;fr;Kampala
Q3897;fr;Luanda
Q39;fr;Confédération helvétique
Q39;fr;Confédération suisse
Q39;fr;Helvétie
Q39;fr;la Confédération suisse
Q39;fr;Suisse
Q3901;fr;Moroni
Q3904;fr;Mbabane
Q3909;fr;Maseru
Q3915;fr;Antananarivo
Q3915;fr;Iarivo
Q3915;fr;Tananarive
Q39178;fr;Port d Espagne
Q39178;fr;Port of Spain
Q39178;fr;Port-d Espagne
Q39178;fr;Port-d espagne
Q39178;fr;Port-of-Spain
Q39178;fr;TTPP
Q3919;fr;Gaborone
Q3921;fr;Harare
Q3926;fr;Pretoria
Q3929;fr;Port-Louis
Q3929;fr;Port-louis
Q3932;fr;Saint-Thomas
Q3932;fr;Sao Tomé
Q3932;fr;São Tomé
Q3935;fr;Windhoek
Q3940;fr;Victoria
Q39760;fr;bande de Gaza
Q398;fr;Bahreïn
Q398;fr;le Royaume de Bahreïn
Q398;fr;Royaume de Bahreïn
Q399;fr;Arménie
Q399;fr;la République d Arménie
Q40;fr;Aut.
Q40;fr;Autr.
Q40;fr;Autriche
Q40;fr;la République d Autriche
Q403;fr;la République de Serbie
Q403;fr;Serbie
Q407199;fr;Cisjordanie et Gaza
Q407199;fr;Territoire palestinien occupé
Q407199;fr;Territoires palestiniens
Q407199;fr;Territoires palestiniens occupés
Q408;fr;Austr.
Q408;fr;Australie
Q408;fr;le Commonwealth d Australie
Q40811;fr;Sokhoumi
Q40811;fr;Soukhoum
Q40811;fr;Soukhoumi
Q40811;fr;Suhumi
Q40811;fr;Sukhumi
Q40811;fr;Tskhoumi
Q40921;fr;Honiara
Q41;fr;Grèce
Q41;fr;République hellénique
Q41295;fr;Basseterre
Q414;fr;Arg.
Q414;fr;Argentine
Q414;fr;la République argentine
Q414;fr;République argentine
Q41474;fr;Kingstown
Q41547;fr;Saint George s
Q41547;fr;Saint-Georges
Q41547;fr;Saint-georges
Q41547;fr;St. George s
Q41699;fr;Castries
Q419;fr;Pérou
Q419;fr;République du Pérou
Q423;fr;Corée du Nord
Q423;fr;Corée Du Nord
Q423;fr;la République populaire démocratique de Corée
Q423;fr;République populaire de Corée
Q423;fr;République populaire démocratique de Corée
Q423;fr;RPDC
Q424;fr;Cambodge
Q424;fr;le Royaume du Cambodge
Q424;fr;Royaume du Cambodge
Q42751;fr;Palikir
Q43;fr;la République de Turquie
Q43;fr;République de Turquie
Q43;fr;République turque
Q43;fr;Turq.
Q43;fr;Turquie
Q437;fr;Aemona
Q437;fr;Laibach
Q437;fr;Laybach
Q437;fr;Lioubiana
Q437;fr;Lioubliana
Q437;fr;Ljubljana
Q437;fr;Loubiana
Q45;fr;la République portugaise
Q45;fr;Portugal
Q472;fr;Sofia
Q47492;fr;Azza
Q47492;fr;Gaza
Q47492;fr;Gaza City
Q47492;fr;ville de Gaza
Q515229;fr;Ngerulmud
Q55115;fr;Monaco-Ville
Q574;fr;la République démocratique du Timor oriental
Q574;fr;République démocratique du Timor oriental
Q574;fr;République démocratique du Timor-Leste
Q574;fr;République démocratique du Timor-Oriental
Q574;fr;Timor oriental
Q574;fr;Timor Oriental
Q574;fr;Timor-Leste
Q574;fr;Timor-Oriental
Q5838;fr;Kaboul
Q585;fr;Christiania
Q585;fr;Kristiania
Q585;fr;Oslo
Q597;fr;Lisboa
Q597;fr;Lisbonne
Q61;fr;Washington
Q61;fr;Washington D.C.
Q61;fr;Washington DC
Q61;fr;Washington, D.C.
Q61;fr;Washington, district de Columbia
Q6250;fr;Sahara occidental
Q64;fr;Berlin
Q649;fr;Moscou
Q657;fr;la République du Tchad
Q657;fr;République du Tchad
Q657;fr;Tchad
Q664;fr;Aotearoa
Q664;fr;la Nouvelle-Zélande
Q664;fr;Nouvelle-Zélande
Q664;fr;Nouvelle-zélande
Q668;fr;Bharat
Q668;fr;Bharatvarsh
Q668;fr;Hindustan
Q668;fr;Inde
Q668;fr;la République de l Inde
Q668;fr;République d Inde
Q672;fr;État des Tuvalu
Q672;fr;les Tuvalu
Q672;fr;Tuvalu
Q678;fr;le Royaume des Tonga
Q678;fr;Tonga
Q683;fr;l État indépendant des Samoa
Q683;fr;Samoa
Q683;fr;Samoa occidentales
Q685;fr;Îles Salomon
Q685;fr;îles Salomon
Q685;fr;les Îles Salomon
Q685;fr;Salomon
Q686;fr;la République du Vanuatu
Q686;fr;République de Vanuatu
Q686;fr;Vanuatu
Q691;fr;État indépendant de Papouasie-Nouvelle-Guinée
Q691;fr;l État indépendant de Papouasie- Nouvelle-Guinée
Q691;fr;Papouasie-nouvelle- Guinée
Q691;fr;Papouasie-Nouvelle-Guinée
Q695;fr;Belau
Q695;fr;la République des Palaos
Q695;fr;Palaos
Q695;fr;Palau
Q697;fr;la République de Nauru
Q697;fr;Nauru
Q70;fr;Bern
Q70;fr;Berne
Q702;fr;États fédérés de Micronésie
Q702;fr;les États fédérés de Micronésie
Q702;fr;Micronésie
Q709;fr;Îles Marshall
Q709;fr;la République des Îles Marshall
Q709;fr;Marshall
Q709;fr;république des Îles Marshall
Q710;fr;Îles Gilbert
Q710;fr;Kiribati
Q710;fr;la république des Kiribati
Q710;fr;république des Kiribati
Q711;fr;Mongol uls
Q711;fr;Mongolie
Q711;fr;Mongolie-extérieure
Q712;fr;Fidji
Q712;fr;Fiji
Q712;fr;îles Fidji
Q712;fr;îles Fiji
Q712;fr;la République des Fidji
Q712;fr;République des Fidji
Q712;fr;République des îles Fidji
Q717;fr;la République bolivarienne du Vénézuéla
Q717;fr;République bolivarienne du Venezuela
Q717;fr;Venezuela
Q717;fr;Vénézuela
Q717;fr;Vénézuéla
Q727;fr;Amsterdam
Q730;fr;République du Surinam
Q730;fr;République du Suriname
Q730;fr;Surinam
Q730;fr;Suriname
Q733;fr;Cœur de l Amérique du Sud
Q733;fr;la République du Paraguay
Q733;fr;Paraguay
Q733;fr;République du Paraguay
Q734;fr;Guyana
Q734;fr;la République coopérative du Guyana
Q736;fr;Équateur
Q736;fr;L Équateur
Q736;fr;la République d Équateur
Q736;fr;République d Équateur
Q736;fr;République de l Équateur
Q739;fr;Col.
Q739;fr;Colombie
Q739;fr;la République de Colombie
Q739;fr;République de Colombie
Q750;fr;Bolivie
Q750;fr;l État plurinational de Bolivie
Q754;fr;la République de Trinité-et-Tobago
Q754;fr;République de Trinité-et-Tobago
Q754;fr;Trinidad and Tobago
Q754;fr;Trinité et Tobago
Q754;fr;Trinité-et-Tobago
Q754;fr;Trinité-et-tobago
Q757;fr;Saint-Vincent-et-les-Grenadines
Q760;fr;Sainte-Lucie
